,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
1102,chaussures correspondent exactement a…,30 janvier 2023,chaussures correspondent exactement a la description,pedro artero,4 avis,FR,True,Showroomprive.com,"Bonjour Pedro,

Vous nous faites part de votre satisfaction quant aux produits commandés.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

Bon weekend de la part de toute l'équipe.

Cordialement,

Nawal",5
1103,Article parfait,03 février 2023,"Article parfait, très chaud , belle qualité, attention taille petit, j ai pris la taille au dessus.
L pour du 42",Cece,1 avis,FR,True,Showroomprive.com,"Bonjour Celine,

Vous nous faites part de votre satisfaction quant aux produits commandés.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes.

Cordialement,

Nawal",5
1104,Bon achat,03 février 2023,"Délai de livraison très rapide,emballage adapté à la taille de l’article et bien soigné. Prix défiant la concurrence.",Laetitia,1 avis,FR,True,Showroomprive.com,"Bonjour Laëtitia,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Merci beaucoup d'avoir pris le temps de nous laisser un commentaire.

A très bientôt sur nos ventes.

Bien à vous,

Nawal",5
1105,Livraison rapide,01 février 2023,"Livraison rapide, et commande conforme à mes attentes",Tony Barbotin,2 avis,FR,True,Showroomprive.com,"Bonjour Tony,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

Bonne journée de la part de toute l'équipe.

Bien à vous,

Nawal",5
1106,Colis reçu dans les délais,01 février 2023,"Colis reçu dans les délais, produits conformes à ma commande.",Aubertin,4 avis,FR,True,Showroomprive.com,"Bonjour Beatrice,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes.

Cordialement,

Nawal",4
1107,Totale satisfaction,31 janvier 2023,"Depuis que je commande sur showroom et même après de très nombreux achats très variés, je n'ai jamais eu à renvoyer quoi que ce soit",Sylvie,4 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,

Toute l'équipe de Showroomprive.com tient à vous remercier pour le retour positif que vous avez pris soin de partager.

Votre commentaire nous touche sincèrement et sera transmis à notre équipe.

A très bientôt sur nos ventes.

Bien à vous,

Nawal",5
1108,showroom mon site préféré,03 février 2023,"J'apprécie beaucoup showroom parce que les prix sont raisonnables, énormément de choix que ça soit cuisine, maison, habillement, marques de luxe etc... quand commandes les dates données sont toujours respectées.👍👍",client(e) Robert Isabelle,2 avis,FR,True,Showroomprive.com,"Bonjour Isabelle,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Merci beaucoup d'avoir pris le temps de nous laisser un commentaire.

Bon weekend de la part de toute l'équipe.

Cordialement,

Nawal",5
1109,Parfait comme d ´habitude,01 février 2023,Utile,Sonia Arsac,7 avis,FR,True,Showroomprive.com,"Bonjour Sonia,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

Bonne journée de la part de toute l'équipe.

Cordialement,

Nawal",5
1110,Pas de surprise..,01 février 2023,Pas de surprise... tout a été conforme à mes attentes.,PASCAL,2 avis,FR,True,Showroomprive.com,"Bonjour Pascal,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Nawal",5
1111,Commande livrée dans les délais,03 février 2023,Commande livrée dans les délais. Article conforme aux descriptions et de bonne qualité.,Aude,3 avis,FR,True,Showroomprive.com,"Bonjour Aude,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Merci beaucoup d'avoir pris le temps de nous laisser un commentaire.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Cordialement,

Nawal",5
1112,Livraison rapide,02 février 2023,Utile,Clien t Mme M . Laurence,6 avis,FR,True,Showroomprive.com,"Bonjour Laurence,

Vous nous faites part de votre satisfaction quant à la livraison rapide de votre commande.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes.

Cordialement,

Nawal",5
1113,EQUIPE SHOWROOMPRIVE AU TOP,01 février 2023,"Cliente fidèle de SHOWROOMPRIVE, j'ai toujours été satisfaite de mes achats, j'ai dernièrement contacté le service client concernant un abonnement livraison INFINITY et ce dernier m'est très rapidement venu en aide, l'équipe SHOWROOMPRIVE est très réactive...
Satisfaction et recommandation maximales pour l'équipe SHOWROOMPRIVE.",JOSELINE ALMANDOZ,26 avis,FR,True,Showroomprive.com,"Bonjour Joseline,

Vous nous faites part de votre satisfaction concernant la qualité de nos services.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

Nous sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1114,Très bien,28 janvier 2023,Très bien rien à signaler,Gaelle,1 avis,FR,True,Showroomprive.com,"Bonjour Gaelle,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

Bonne journée de la part de toute l'équipe.

Cordialement,

Nawal",5
1115,Articles conformes aux descriptions,23 janvier 2023,"Articles conformes aux descriptions, donc à mes attentes.
Délai d'expédition : rapide, donc satisfaisant.",Jeannine,2 avis,RE,True,Showroomprive.com,"Bonjour Jeannine,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

Bonne journée de la part de toute l'équipe.

Cordialement,

Nawal",5
1116,Marchandise conforme à mon attente,31 janvier 2023,Marchandise conforme à mon attente. Livraison en avance par rapport à la date prévue.,Mireille,2 avis,FR,True,Showroomprive.com,"Bonjour Mireille,

Merci pour cet avis !

Savoir que nos produits ont répondu à vos attentes nous motive chaque jour davantage.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",4
1117,Super.délais de livraison respectés,01 février 2023,"Super.délais de livraison respectés
Retour facile
Belles marques à des prix abordables",Nicole,4 avis,MQ,True,Showroomprive.com,"Bonjour Nicole,

Merci beaucoup d’avoir pris le temps de rédiger votre avis.

Toute l'équipe est très heureuse de vous lire et votre retour nous encourage à continuer dans ce sens.

Bien à vous,

Othmane",5
1118,Livraison rapide et objet magnifique,02 février 2023,Utile,CABINET IMMOBILIER BORDELAIS,8 avis,FR,True,Showroomprive.com,"Bonjour Marie-Christine,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
1119,"Manteau livré rapidement ,vêtement très…",02 février 2023,"Manteau livré rapidement ,vêtement très bonne qualité",Jacqueline,3 avis,FR,True,Showroomprive.com,"Bonjour Jacqueline,

Merci pour cet avis ! Savoir que nos produits ont répondu à vos attentes nous motive chaque jour davantage.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
1120,Produit bien emballé et délai respecté…,31 janvier 2023,Produit bien emballé et délai respecté !!,Beatrice,1 avis,FR,True,Showroomprive.com,"Bonjour Beatrice,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
1121,Parfait,20 janvier 2023,Parfait. Livraison au top,client(e),7 avis,FR,True,Showroomprive.com,"Bonjour Maud,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Merci beaucoup d'avoir pris le temps de nous laisser un commentaire.

Nous restons évidemment disponibles si besoin.

Bien à vous,

Othmane",5
1122,La moitié de ma commande annulée et ce…,02 février 2023,La moitié de ma commande annulée et ce que j’ai reçu ne correspond pas à mon achat.,Gael TARAUD,1 avis,FR,True,Showroomprive.com,"Bonjour Monsieur TARAUD,

Je suis sincèrement navré d'apprendre que vous n'ayez pas reçu l'intégralité de votre commande.

Je vous présente mes excuses pour cette situation.

Par ailleurs, je vous informe que votre réclamation a bien été prise en charge par nos services.

Rassurez-vous, vous serez contacté aujourd'hui afin d'échanger à ce sujet.

Bien à vous,

Othmane",1
1123,tout c'est bien passé super bougie,30 janvier 2023,Utile,Mademoiselle virginie petit,18 avis,FR,True,Showroomprive.com,"Bonjour Virginie,

Je vous remercie pour cette note positive.

En espérant pouvoir à nouveau vous faire profiter de nos produits.

Bien à vous,

Othmane",5
1124,Réduction et livraison intéressantes,11 janvier 2023,"Réduction intéressante.
Dommage pas de reprise ancien matelas sommier.
Le service n'a pas répondu à ma deuxième sollicitations.
Livraison rapide et flexible.",Bao,2 avis,FR,True,Showroomprive.com,"Bonjour Bao,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

Concernant votre souhait de retourner votre ancien matelas, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",4
1125,Articles de qualité accessibles avec…,01 février 2023,"Articles de qualité accessibles avec des réductions alléchantes.
Service rapide et efficace,je recommande.",LAETITIA BARBOT,4 avis,GB,True,Showroomprive.com,"Bonjour Laetitia,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

A bientôt sur nos ventes.

Bien à vous,

Othmane",4
1126,R.A.S,01 février 2023,"R.A.S, merci !",Monsieur CEGARRA,11 avis,FR,True,Showroomprive.com,"Bonjour Monsieur CEGARRA,

Toute l'équipe de Showroomprive.com tient à vous remercier pour le retour positif que vous avez pris soin de partager.

Votre commentaire nous touche sincèrement et sera transmis à notre équipe.

Bien à vous,

Othmane",5
1127,Colis conforme au produit commandé,02 février 2023,"Colis conforme au produit commandé, emballage légèrement déformé au niveau des arêtes sans aucune conséquence sur le contenant (carton d'emballage un peu trop mince).",Ghislaine 44,9 avis,FR,True,Showroomprive.com,"Bonjour Ghislaine,

Merci beaucoup d’avoir pris le temps de rédiger votre avis.

Toute l'équipe est très heureuse de vous lire et votre retour nous encourage à continuer dans ce sens.

Bien à vous,

Othmane",5
1128,Conforme,20 janvier 2023,J'utilise ce site depuis de nombreuses années et chaque commande est conforme aux informations données.,poumier,4 avis,FR,True,Showroomprive.com,"Bonjour Madame POUMIER,

Merci pour cet avis !

Savoir que nos produits ont répondu à vos attentes nous motive chaque jour davantage.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
1129,Commande reçue très rapidement,01 février 2023,"Commande reçue très rapidement.
Tous les produits sont conformes.
Très bien emballée",AUBERT Christophe,2 avis,FR,True,Showroomprive.com,"Bonjour Christophe,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
